wb freshwater,"","use a higher or a lower share of their internal fresh water resources each year"
wb military expenses as perc of gdp,"","spend a higher or lower amount of their government's budget on military"
wb patent applications,"","have higher or lower amount of patent applications each year"
wb rail lines in km,"","have more [select 'higher' below] or fewer [select 'lower' below] miles / kilometers of rail"
wb airplane departures,"","have higher or lower amount of airplane departures"
wb high tech exports,"","have a higher or lower amount of high tech exports"
wb startup,"","require founders of startups to fill in a higher or a lower amount of forms to open a new business"
wb internet users per 100ppl,"","have a higher or a lower share of internet users"
